Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone
CNB1_1,-33.5198,115.023,20080201,0:00:00,Ngari Capes,Fished,CNB1,20,,Yes,Yes,General Use
CNB1_2,-33.5219,115.0237,20080201,9:30:00,Ngari Capes,Fished,CNB1,20,,Yes,No,General Use
CNB1_3,-33.5188,115.0253,20080201,0:00:00,Ngari Capes,Fished,CNB1,27,,Yes,Yes,General Use
CNB1_4,-33.5174,115.0232,20080201,0:00:00,Ngari Capes,Fished,CNB1,27,,Yes,Yes,General Use
CNB1_5,-33.5214,115.0263,20080201,0:00:00,Ngari Capes,Fished,CNB1,23,,Yes,Yes,General Use
CNB2_1,-33.52,115.0172,20080201,13:42:00,Ngari Capes,Fished,CNB2,15,,Yes,No,General Use
CNB2_2,-33.5154,115.0165,20080201,12:10:00,Ngari Capes,Fished,CNB2,31,,Yes,No,General Use
CNB2_3,-33.5185,115.0151,20080201,10:20:00,Ngari Capes,Fished,CNB2,28,,Yes,No,General Use
CNB2_4,-33.5183,115.018,20080201,12:01:00,Ngari Capes,Fished,CNB2,28,,Yes,No,General Use
CNB2_5,-33.517,115.0165,20080201,12:05:00,Ngari Capes,Fished,CNB2,29,,Yes,No,General Use
CNB6_1,-33.5481,114.9986,20080201,0:00:00,Ngari Capes,Fished,CNB6,18,,Yes,Yes,General Use
CNB6_2,-33.5459,114.9983,20080201,15:46:00,Ngari Capes,Fished,CNB6,28,,Yes,No,General Use
CNB6_3,-33.5451,114.9959,20080201,0:00:00,Ngari Capes,Fished,CNB6,28,,Yes,Yes,General Use
CNB6_4,-33.5453,115.0005,20080201,0:00:00,Ngari Capes,Fished,CNB6,9,,Yes,Yes,General Use
CNB6_5,-33.5435,114.9984,20080201,0:00:00,Ngari Capes,Fished,CNB6,28,,Yes,Yes,General Use
CNB7_1,-33.5539,114.9992,20080201,0:00:00,Ngari Capes,Fished,CNB7,17,,Yes,Yes,General Use
CNB7_2,-33.5547,114.9971,20080201,13:40:00,Ngari Capes,Fished,CNB7,14,,Yes,No,General Use
CNB7_3,-33.5561,114.9994,20080201,0:00:00,Ngari Capes,Fished,CNB7,14,,Yes,Yes,General Use
CNB7_4,-33.5537,115.0014,20080201,0:00:00,Ngari Capes,Fished,CNB7,9,,Yes,Yes,General Use
CNB7_5,-33.5523,114.9988,20080201,0:00:00,Ngari Capes,Fished,CNB7,17,,Yes,Yes,General Use
CNB3_1,-33.5183,115.0066,20080201,0:00:00,Ngari Capes,No-take,CNB3,34,,Yes,Yes,Sanctuary Zone
CNB3_2,-33.5206,115.0056,20080201,14:50:00,Ngari Capes,No-take,CNB3,31,,Yes,No,Sanctuary Zone
CNB3_3,-33.5224,115.007,20080201,0:00:00,Ngari Capes,No-take,CNB3,28,,Yes,Yes,Sanctuary Zone
CNB3_4,-33.5222,115.01,20080201,0:00:00,Ngari Capes,No-take,CNB3,26,,Yes,Yes,Sanctuary Zone
CNB3_5,-33.5201,115.0086,20080201,0:00:00,Ngari Capes,No-take,CNB3,32,,Yes,Yes,Sanctuary Zone
CNB4_1,-33.5221,114.9987,20080201,14:05:00,Ngari Capes,No-take,CNB4,30,,Yes,No,Sanctuary Zone
CNB4_2,-33.5231,114.9955,20080201,12:10:00,Ngari Capes,No-take,CNB4,38,,Yes,No,Sanctuary Zone
CNB4_3,-33.5214,114.9932,20080201,0:00:00,Ngari Capes,No-take,CNB4,47,,Yes,Yes,Sanctuary Zone
CNB4_4,-33.5242,114.9977,20080201,0:00:00,Ngari Capes,No-take,CNB4,30,,Yes,Yes,Sanctuary Zone
CNB4_5,-33.5208,114.9958,20080201,0:00:00,Ngari Capes,No-take,CNB4,45,,Yes,Yes,Sanctuary Zone
CNB5_1,-33.5345,114.9964,20080201,0:00:00,Ngari Capes,No-take,CNB5,23,,Yes,Yes,Sanctuary Zone
CNB5_2,-33.5351,114.9935,20080201,16:00:00,Ngari Capes,No-take,CNB5,36,,Yes,No,Sanctuary Zone
CNB5_3,-33.5369,114.9964,20080201,0:00:00,Ngari Capes,No-take,CNB5,26,,Yes,Yes,Sanctuary Zone
CNB5_4,-33.5352,114.9989,20080201,0:00:00,Ngari Capes,No-take,CNB5,15,,Yes,Yes,Sanctuary Zone
CNB5_5,-33.5323,114.9969,20080201,0:00:00,Ngari Capes,No-take,CNB5,23,,Yes,Yes,Sanctuary Zone
