ReplicateCode,Latitude,Longitude,Site_depth
NIN-BUN-MNCA-B1-B1A,-21.6557,114.3746,5
NIN-BUN-MNCA-B1-B1B,-21.6563,114.3743,5
NIN-BUN-MNCA-B1-B1C,-21.657,114.3744,5
NIN-BUN-MMA-B2-B2A,-21.6772,114.3466,1.5
NIN-BUN-MMA-B2-B2B,-21.6774,114.346,1.5
NIN-BUN-MMA-B2-B2C,-21.6779,114.3457,1.5
NIN-BUN-BSZ-B3-B3A,-21.8704,114.1572,5
NIN-BUN-BSZ-B3-B3B,-21.8709,114.1572,5
NIN-BUN-BSZ-B3-B3C,-21.8714,114.1572,5
NIN-BUN-BSZ-B4-B4A,-21.8555,114.1678,5
NIN-BUN-BSZ-B4-B4B,-21.8559,114.1674,5
NIN-BUN-BSZ-B4-B4C,-21.8563,114.1671,5
NIN-BUN-BRZ-B5-B5A,-21.827,114.18,5
NIN-BUN-BRZ-B5-B5B,-21.8274,114.1797,5
NIN-BUN-BRZ-B5-B5C,-21.8279,114.1794,5
NIN-BUN-MSZ-B6-B6A,-21.8238,114.1847,5
NIN-BUN-MSZ-B6-B6B,-21.8243,114.1847,5
NIN-BUN-MSZ-B6-B6C,-21.8248,114.1848,5
NIN-BUN-BSZ-B7-B7A,-21.86166669,114.1610666,2.5
NIN-BUN-BSZ-B7-B7B,-21.86216667,114.1608167,2.5
NIN-BUN-BSZ-B7-B7C,-21.86263329,114.1605333,2.5
NIN-BUN-BSZ-B7-B7D,-21.86185,114.1614167,2.5
NIN-BUN-BSZ-B7-B7E,-21.86231663,114.1611,2.5
NIN-BUN-BSZ-B7-B7F,-21.86270001,114.1608,2.5
NIN-NTH-TSZ-N1-N1A,-21.9085,113.9636,4
NIN-NTH-TSZ-N1-N1B,-21.909,113.9635,4
NIN-NTH-TSZ-N1-N1C,-21.9095,113.9635,4
NIN-NTH-MUSZ-N2-N2A,-22.1082,113.879,1
NIN-NTH-MUSZ-N2-N2B,-22.1088,113.8789,1
NIN-NTH-MUSZ-N2-N2C,-22.1093,113.8787,1
NIN-NTH-OSZ-N3-N3A,-22.2451,113.8298,1
NIN-NTH-OSZ-N3-N3B,-22.2457,113.8297,1
NIN-NTH-OSZ-N3-N3C,-22.2462,113.8299,1
NIN-NTH-WSZ-N4-N4A,-22.3989,113.7418,1
NIN-NTH-WSZ-N4-N4B,-22.3996,113.7417,1
NIN-NTH-WSZ-N4-N4C,-22.4002,113.7419,1
NIN-NTH-WSZ-N5-N5A,-22.4815,113.7099,4
NIN-NTH-WSZ-N5-N5B,-22.482,113.7099,4
NIN-NTH-WSZ-N5-N5C,-22.4825,113.7098,4
NIN-NTH-WRZ-N6-N6A,-22.5023,113.7001,1
NIN-NTH-WRZ-N6-N6B,-22.503,113.6998,1
NIN-NTH-WRZ-N6-N6C,-22.5036,113.6999,1
NIN-STH-CSZ-S1-S1A,-22.8627,113.7601,1.5
NIN-STH-CSZ-S1-S1B,-22.8632,113.76,1.5
NIN-STH-CSZ-S1-S1C,-22.8637,113.76,1.5
NIN-STH-CRZ-S2-S2A,-22.9442,113.7788,4
NIN-STH-CRZ-S2-S2B,-22.9448,113.7788,4
NIN-STH-CRZ-S2-S2C,-22.9453,113.7788,4
NIN-STH-MSZ-S3-S3A,-23.1301,113.7535,4
NIN-STH-MSZ-S3-S3B,-23.1306,113.7532,4
NIN-STH-MSZ-S3-S3C,-23.1311,113.753,4
NIN-STH-PSZ-S4-S4A,-23.3325,113.7792,4
NIN-STH-PSZ-S4-S4B,-23.333,113.7792,4
NIN-STH-PSZ-S4-S4C,-23.3336,113.7792,4
NIN-STH-CFSZ-S5-S5A,-23.6223,113.6162,2
NIN-STH-CFSZ-S5-S5B,-23.6227,113.6159,2
NIN-STH-CFSZ-S5-S5C,-23.6231,113.6157,2
NIN-STH-GBSZ-S6-S6A,-23.7613,113.543,3
NIN-STH-GBSZ-S6-S6B,-23.7617,113.5428,3
NIN-STH-GBSZ-S6-S6C,-23.7621,113.5426,3
NIN-STH-3MSZ-S7-S7A,-23.8714,113.4968,3
NIN-STH-3MSZ-S7-S7B,-23.8721,113.4967,3
NIN-STH-3MSZ-S7-S7C,-23.8726,113.4965,3
NIN-STH-TUSZ-S8-S8A,-23.9652,113.469,3
NIN-STH-TUSZ-S8-S8B,-23.9656,113.4691,3
NIN-STH-TUSZ-S8-S8C,-23.9663,113.4697,3
NIN-NTH-MUSZ-TB1-TB1A,-22.0981,113.8852,3
NIN-NTH-MUSZ-TB1-TB1B,-22.0986,113.8853,3
NIN-NTH-MUSZ-TB1-TB1C,-22.099,113.8852,3
NIN-NTH-MUSZ-OS1-OS1A,-22.1324,113.8765,3
NIN-NTH-MUSZ-OS1-OS1B,-22.1329,113.8763,3
NIN-NTH-MUSZ-OS1-OS1C,-22.1334,113.876,3
